Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Food","No","","92282","Ongoing","Chang & Son Enterprises, Inc.","301 River Rd","","Whately","MA","	01093","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","New York, Connecticut, Massachusetts, Rhode Island, Ohio, New Jersey, Maryland","F-0963-2023","Class I","a.) BEAN SPROUTS, 10 LBS, PRODUCT OF USA; CHANG FARM; SO.DEERFIELD, MA; KEEP REFRIGERATED; package in plastic bags  b.) Nature's Wonder brand Premium BEAN SPROUTS; ALL NATURAL AND READY TO COOK; NET WT 12 oz (340 g); REFRIGERATE","748,920 lbs","Product may be contaminated with Listeria monocytogenes.","05/05/2023","05/30/2023","","06/07/2023","All sell by dates before 5/28/2023.  a.) 10 lb bags - all product within expiry. No code on packaging.  b.) 12 oz bags - all product within expiry"
"Food","No","","92282","Ongoing","Chang & Son Enterprises, Inc.","301 River Rd","","Whately","MA","	01093","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","New York, Connecticut, Massachusetts, Rhode Island, Ohio, New Jersey, Maryland","F-0964-2023","Class I","Nature's Wonder Premium Soybean Sprouts 12oz bag (UPC: 815098001347)","29,340 lbs","Product may be contaminated with Listeria monocytogenes.","05/05/2023","05/30/2023","","06/07/2023","All sell by dates before 5/28/2023.  12 oz bags - all product within expiry"
"Food","No","","92319","Ongoing","Living Nutz Living Organic Foods","746 Post Rd","","Bowdoinham","ME","	04008-6015","United States","Voluntary: Firm initiated","E-Mail","ME, FL, MI, NY, PA, WA, TX","F-0957-2023","Class I","Living Nutz Nut & Seed Butter Raw Sprouted & Stoneground; 8 oz., 12 oz. or 64 oz.","68 units","Nut butter potentially contaminated by Salmonella.","05/11/2023","05/26/2023","","06/07/2023","code 121522  121523  8 oz UPC 6 71762 31013 5;   12 and 64 oz. UPC  671762310098"
"Drugs","No","06/06/2023","92324","Ongoing","Novis PR, LLC dba Kramer Novis","320 Ave Barbosa","","San Juan","PR","	00917-4315","United States","Voluntary: Firm initiated","Letter","Puerto Rico","D-0868-2023","Class I","G-Supress DX (Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl) Pediatric Drops Cough Suppressant Expectorant Nasal Decongestant, Cherry Flavor Sugar & Alcohol Free, packaged in a bottle Net Content: 30 mL (1 oz.) further packaged in a carton, Manufactured in the USA for Kramer Novis, San Juan, PR 00917, NDC 52083-655-01","9077 bottles","Product mix-up: incorrect product was found inside the G-Supress DX product carton.","04/20/2023","06/06/2023","","06/07/2023","Lot: D20911, Exp. Oct/25"
"Food","No","","92332","Ongoing","AH USA Group Inc","2845 Supply Ave","","Commerce","CA","	90040-2705","United States","Voluntary: Firm initiated","Letter","Product distributed in PA, CA, FL, MN, WI, OH, TX, TN, NM, GA, LA, KS, AK, NV, AZ, NE, IN, CO,   and OK.","F-0966-2023","Class I","Black Fungus Golden Koi 2.5 oz packages 100 bags per case UPC: 81005681145 Product of China ","343 cases","Product may contain salmonella","05/09/2023","05/31/2023","","06/07/2023","BEST BEFORE OCT/2024 Lot  code - TW4115"
"Food","No","","92386","Ongoing","SunOpta Grains and Foods Inc.","7078 Shady Oak Rd","","Eden Prairie","MN","	55344-3505","United States","Voluntary: Firm initiated","E-Mail","OR","F-0970-2023","Class I","Organic Pineapple Chunks, Item 4510-000, packed in 30 lb. poly-lined boxes.","32,400 lbs.","Organic Pineapple chunks may be contaminated with Listeria monocytogenes.","05/19/2023","06/01/2023","","06/07/2023","Lots:  8FQ229702000MX and 8FQ229802000MX"
"Drugs","No","","91788","Ongoing","Akorn, Inc.","5605 Centerpoint Ct Ste A","","Gurnee","IL","	60031-5278","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-0779-2023","Class II","Atropine Sulfate Ophthalmic Solution, USP 1%, For Topical Application To The Eye, packaged in a) 2 mL bottles b) 5 mL bottles, and C) 15 mL bottles, Sterile, Rx only, Distributed by: Akorn Operating Company LLC, Gurnee, IL 60031. ALL NDCs","","CGMP Deviations: Firm went out of business and could no longer continue stability studies.","04/26/2023","06/01/2023","","06/07/2023","All Lots"
"Drugs","No","","91788","Ongoing","Akorn, Inc.","5605 Centerpoint Ct Ste A","","Gurnee","IL","	60031-5278","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-0780-2023","Class II","Acetaminophen & Codeine Phosphate Oral Solution 120mg/12mg/5mL, packaged in a) 473mL bottles and b) 40 UD cups, Rx only, Distributed by: Akorn Operating Company LLC, Gurnee, IL 60031.  ALL NDCs","","CGMP Deviations: Firm went out of business and could no longer continue stability studies.","04/26/2023","06/01/2023","","06/07/2023","All Lots"
"Drugs","No","","91788","Ongoing","Akorn, Inc.","5605 Centerpoint Ct Ste A","","Gurnee","IL","	60031-5278","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-0781-2023","Class II","Acetic Acid Otic Solution, 15 mL per bottle, Rx only, Distributed by: Akorn Operating Company LLC, Gurnee, IL 60031.  ALL NDCs","","CGMP Deviations: Firm went out of business and could no longer continue stability studies.","04/26/2023","06/01/2023","","06/07/2023","All Lots"
"Drugs","No","","91788","Ongoing","Akorn, Inc.","5605 Centerpoint Ct Ste A","","Gurnee","IL","	60031-5278","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-0782-2023","Class II","Acyclovir Oral Suspension, 200mg/5mL, Rx only, Distributed by: Akorn Operating Company LLC, Gurnee, IL 60031.  ALL NDCs","","CGMP Deviations: Firm went out of business and could no longer continue stability studies.","04/26/2023","06/01/2023","","06/07/2023","All Lots"
"Drugs","No","","91788","Ongoing","Akorn, Inc.","5605 Centerpoint Ct Ste A","","Gurnee","IL","	60031-5278","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-0783-2023","Class II","Albuterol Sulfate Syrup, 2mg (base), 16 fl oz (473 mL) per bottle, Rx only, Distributed by: Akorn Operating Company LLC, Gurnee, IL 60031.  ALL NDCs","","CGMP Deviations: Firm went out of business and could no longer continue stability studies.","04/26/2023","06/01/2023","","06/07/2023","All Lots"
"Drugs","No","","91788","Ongoing","Akorn, Inc.","5605 Centerpoint Ct Ste A","","Gurnee","IL","	60031-5278","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-0784-2023","Class II","Apraclonidine Ophthalmic Solution 0.5%, packaged in a) 5mL and b) 10 mL bottles, Rx only, Sterile, For Topical Ophthalmic Use Only, Distributed by: Akorn Operating Company LLC, Gurnee, IL 60031.  ALL NDCs","","CGMP Deviations: Firm went out of business and could no longer continue stability studies.","04/26/2023","06/01/2023","","06/07/2023","All Lots"
"Drugs","No","","91788","Ongoing","Akorn, Inc.","5605 Centerpoint Ct Ste A","","Gurnee","IL","	60031-5278","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-0785-2023","Class II","Artificial Tears Solution, Polyvinyl Alcohol 1.4%, For Ophthalmic Use Only, Distributed by: Akorn Operating Company LLC, Gurnee, IL 60031.  ALL NDCs","","CGMP Deviations: Firm went out of business and could no longer continue stability studies.","04/26/2023","06/01/2023","","06/07/2023","All Lots"
"Drugs","No","","91788","Ongoing","Akorn, Inc.","5605 Centerpoint Ct Ste A","","Gurnee","IL","	60031-5278","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-0786-2023","Class II","Artificial Tears Ointment, Sterile, For Ophthalmic Use Only, 3.5 gram tubes, Distributed by: Akorn Operating Company LLC, Gurnee, IL 60031.  ALL NDCs","","CGMP Deviations: Firm went out of business and could no longer continue stability studies.","04/26/2023","06/01/2023","","06/07/2023","All Lots"
"Drugs","No","","91788","Ongoing","Akorn, Inc.","5605 Centerpoint Ct Ste A","","Gurnee","IL","	60031-5278","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-0787-2023","Class II","Azelastine Hydrochloride Nasal Spray, 0.15%, 105.5 mcg per spray, Rx Only, For Intranasal Use Only, Manufactured by: Hi-Tech Pharmacal Co., INC., Amityville, NY 11701.  ALL NDCs","","CGMP Deviations: Firm went out of business and could no longer continue stability studies.","04/26/2023","06/01/2023","","06/07/2023","All Lots"
"Drugs","No","","91788","Ongoing","Akorn, Inc.","5605 Centerpoint Ct Ste A","","Gurnee","IL","	60031-5278","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-0788-2023","Class II","AK-POLY-BAC (bacitracin Zinc and Polymyxin B Sulfate) Ophthalmic Ointment, 3.5g, Sterile, Rx Only, For Ophthalmic Use Only, Manufactured by: Akorn, Inc., Lake Forest, IL 60045.  ALL NDCs","","CGMP Deviations: Firm went out of business and could no longer continue stability studies.","04/26/2023","06/01/2023","","06/07/2023","All Lots"
"Drugs","No","","91788","Ongoing","Akorn, Inc.","5605 Centerpoint Ct Ste A","","Gurnee","IL","	60031-5278","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-0789-2023","Class II","Calcipotriene Topical Solution,  0.005% (Scalp Solution), 60 mL bottles, Rx Only, Distributed by: Akorn Operating Company, LLC., Gurnee, IL 60031.  ALL NDCs","","CGMP Deviations: Firm went out of business and could no longer continue stability studies.","04/26/2023","06/01/2023","","06/07/2023","All Lots"
"Drugs","No","","91788","Ongoing","Akorn, Inc.","5605 Centerpoint Ct Ste A","","Gurnee","IL","	60031-5278","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-0790-2023","Class II","Calcitriol Injection 1 mcg/mL, 1 mL ampules Rx Only, Distributed by: Akorn Operating Company, LLC., Gurnee, IL 60031.  ALL NDCs","","CGMP Deviations: Firm went out of business and could no longer continue stability studies.","04/26/2023","06/01/2023","","06/07/2023","All Lots"
"Drugs","No","","91788","Ongoing","Akorn, Inc.","5605 Centerpoint Ct Ste A","","Gurnee","IL","	60031-5278","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-0791-2023","Class II","Cetrorelix Acetate for Injection, 0.25 mg, , One carton contains one packaged tray which contains: 1 vial with lyophilized powder for reconstitution, 1 pre-filled syringe with diluent, 1 20-gauge needle, 1 27-gauge needle, Sterile - For subcutaneous use only, Rx Only, Manufactured by: GP Pharm S.A. Barcelona, Spain (ESP) -08777, Distributed by: Akorn Operating Company, LLC., Gurnee, IL 60031.  ALL NDCs","","CGMP Deviations: Firm went out of business and could no longer continue stability studies.","04/26/2023","06/01/2023","","06/07/2023","All Lots"
