Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Devices","No","","92171","Ongoing","NOXBOX LTD","Unit 1080","&; 1081 Galley Drive; Kent Science Park","Sittingbourne","","	","United Kingdom","Voluntary: Firm initiated","Letter","Worldwide distribution - US Nationwide and the countries of Bahrain, Bolivia, Brazil,  Ecuador, Finland, France, Hong Kong, India, Indonesia, Ireland, Israel, Italy, Kuwait,  Malaysia, Mexico, Netherlands, New Zealand, Panama, Saudi Arabia, Singapore,  South Africa, Spain, Taiwan, Turkey, UAE, United Kingdom.","Z-1667-2023","Class I","NOxBOXi Nitric Oxide Delivery System, NOXBOX-I, REQNOXBOX-I, Nitric Oxide Delivery Device","548 (US); 208 (OUS)","Device may experience malfunctions due to misalignment of the check valve in the manifold. If the device fails, there is a risk of nitric oxide leak, oxygen gas leak, or earlier cylinder gas changeover than expected or not at all. In a worst case scenario, there may be an interruption in therapy which could lead to oxygen desaturation of the patient and associated complications.","05/03/2023","06/09/2023","","06/21/2023","UDI/DI: 5060541640009  Serial Numbers distributed in US:  NI101029 NI102476 NI102518 NI102560 NI102594 NI102629 NI101388 NI102477 NI102519 NI102561 NI102595 NI102630 NI101392 NI102478 NI102520 NI102562 NI102596 NI102631 NI101441 NI102479 NI102522 NI102563 NI102597 NI102632 NI101562 NI102480 NI102525 NI102564 NI102598 NI102633 NI101679 NI102481 NI102528 NI102565 NI102599 NI102634 NI101703 NI102482 NI102530 NI102567 NI102600 NI102635 NI101760 NI102483 NI102531 NI102569 NI102601 NI102636 NI101806 NI102484 NI102535 NI102571 NI102602 NI102637 NI101881 NI102485 NI102537 NI102573 NI102604 NI102639 NI101927 NI102486 NI102538 NI102574 NI102605 NI102640 NI102024 NI102487 NI102539 NI102575 NI102606 NI102641 NI102097 NI102493 NI102540 NI102576 NI102608 NI102642 NI102111 NI102495 NI102541 NI102577 NI102610 NI102646 NI102193 NI102496 NI102542 NI102578 NI102611 NI102647 NI102255 NI102497 NI102544 NI102579 NI102613 NI102649 NI102311 NI102498 NI102545 NI102580 NI102614 NI102652 NI102394 NI102499 NI102546 NI102581 NI102615 NI102654 NI102397 NI102500 NI102547 NI102582 NI102616 NI102655 NI102398 NI102502 NI102548 NI102583 NI102617 NI102656 NI102436 NI102504 NI102550 NI102584 NI102618 NI102657 NI102438 NI102506 NI102551 NI102585 NI102619 NI102658 NI102444 NI102509 NI102552 NI102586 NI102620 NI102659 NI102445 NI102510 NI102553 NI102587 NI102621 NI102660 NI102463 NI102511 NI102554 NI102588 NI102622 NI102661 NI102466 NI102512 NI102555 NI102589 NI102623 NI102662 NI102467 NI102513 NI102556 NI102590 NI102625 NI102663 NI102473 NI102514 NI102557 NI102591 NI102626 NI102664 NI102474 NI102515 NI102558 NI102592 NI102627 NI102665 NI102475 NI102517 NI102559 NI102593 NI102628 NI102666 NI102667 NI102706 NI102742 NI102775 NI102810 NI102855 NI102668 NI102707 NI102743 NI102776 NI102811 NI102856 NI102669 NI102708 NI102744 NI102777 NI102812 NI102858 NI102670 NI102709 NI102745 NI102778 NI102813 NI102859 NI102671 NI102710 NI102746 NI102779 NI102814 NI102860 NI102672 NI102711 NI102747 NI102780 NI102815 NI102861 NI102679 NI102712 NI102748 NI102781 NI102816 NI102862 NI102681 NI102713 NI102750 NI102784 NI102817 NI102863 NI102682 NI102714 NI102751 NI102785 NI102824 NI102864 NI102683 NI102715 NI102752 NI102786 NI102825 NI102865 NI102684 NI102717 NI102753 NI102789 NI102829 NI102866 NI102685 NI102720 NI102755 NI102790 NI102833 NI102867 NI102687 NI102722 NI102756 NI102791 NI102834 NI102868 NI102688 NI102724 NI102757 NI102792 NI102836 NI102870 NI102689 NI102725 NI102758 NI102793 NI102837 NI102871 NI102690 NI102726 NI102759 NI102794 NI102838 NI102872 NI102691 NI102727 NI102760 NI102795 NI102839 NI102873 NI102692 NI102728 NI102762 NI102796 NI102841 NI102874 NI102693 NI102729 NI102763 NI102798 NI102842 NI102876 NI102695 NI102730 NI102764 NI102799 NI102843 NI102877 NI102696 NI102731 NI102765 NI102800 NI102844 NI102878 NI102697 NI102732 NI102766 NI102801 NI102845 NI102879 NI102698 NI102733 NI102767 NI102802 NI102846 NI102880 NI102699 NI102734 NI102768 NI102803 NI102847 NI102881 NI102700 NI102735 NI102769 NI102804 NI102848 NI102882 NI102701 NI102736 NI102770 NI102805 NI102849 NI102883 NI102702 NI102737 NI102771 NI102806 NI102850 NI102884 NI102703 NI102738 NI102772 NI102807 NI102851 NI102885 NI102704 NI102740 NI102773 NI102808 NI102852 NI102886 NI102705 NI102741 NI102774 NI102809 NI102854 NI102887 NI102888 NI102927 NI102979 NI103074 NI103155 NI102889 NI102928 NI102986 NI103076 NI103157 NI102890 NI102929 NI102987 NI103079 NI103159 NI102891 NI102930 NI102989 NI103082 NI103168 NI102893 NI102931 NI102990 NI103083 NI103170 NI102897 NI102932 NI102991 NI103084 NI103181 NI102898 NI102933 NI102992 NI103085 NI103183 NI102899 NI102934 NI102996 NI103087 NI103189 NI102900 NI102935 NI102997 NI103088 NI103196 NI102901 NI102936 NI102998 NI103091 NI103203 NI102902 NI102937 NI102999 NI103092 NI103204 NI102904 NI102939 NI103001 NI103094 NI103208 NI102905 NI102942 NI103002 NI103095 NI103215 NI102906 NI102944 NI103003 NI103104 NI102907 NI102947 NI103007 NI103116 NI102908 NI102950 NI103011 NI103117 NI102909 NI102951 NI103012 NI103120 NI102911 NI102955 NI103014 NI103122 NI102913 NI102957 NI103016 NI103123 NI102914 NI102958 NI103017 NI103126 NI102915 NI102961 NI103018 NI103127 NI102916 NI102962 NI103019 NI103131 NI102917 NI102963 NI103020 NI103139 NI102918 NI102964 NI103021 NI103144 NI102919 NI102966 NI103022 NI103145 NI102920 NI102967 NI103023 NI103146 NI102921 NI102968 NI103024 NI103147 NI102922 NI102970 NI103041 NI103148 NI102923 NI102973 NI103062 NI103151 NI102926 NI102977 NI103064 NI103152"
"Food","No","","92392","Completed","Van Leeuwen Ice Cream LLC","56 Dobbin St","","Brooklyn","NY","	11222-3110","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","MD, NJ, OH, NH, CT, NJ, PA, NY, ME, VA, DC","F-0985-2023","Class I","Van Leeuwen brand BROWN SUGAR CHUNK WITH COOKIE DOUGH & BROWNIES FENCH ICE CREAM; 14 FL OZ (414 ML); ingredients: cream, milk, dark brown sugar, cane sugar, egg yolks, wheat flour, unbleached flour (wheat flour, malted barley flour), water, cocoa processed with alkali, canola oil, coconut oil, invert sugar, eggs, egg whites, molasses, tapioca flour, vanilla extract, sea salt, salt, sunflower lecithin, soy lecithin, baking powder (sodium acid pyrophosphate, baking soda, corn starch, monocalcium phosphate); contains: milk, eggs, wheat, soy, tree nuts (coconut); MANUFACTURED IN A FACILITY THAT HANDLES DAIRY, EGGS, TREE NUTS, PEANUTS, WHEAT AND SOY","4,096 pints","Product may contain undeclared walnuts.","05/22/2023","06/13/2023","","06/21/2023","Lot Number: 23P102 Best By Date: April 12, 2025"
"Food","No","","92442","Completed","Cascade International Foods, Inc","561 Se Oak St","","Hillsboro","OR","	97123-4298","United States","Voluntary: Firm initiated","Telephone","distributed in CA and OR.","F-0984-2023","Class I","Fresh Organic Freezer Strawberries Mexico with calyx (caps) removed, net wt. 18 lbs., packaged in a T60-800 Polyethylene Homopolymer picking tray. Product is imported and distributed in fresh condition by Cascade International Foods.","total 35,686 lbs.","Potential contamination with Hepatitis A.","05/25/2023","06/09/2023","","06/21/2023","Lot codes:  030122-50029  030222-50029 030822-50029 030922-50029 031122-50029  The code Interpretation:  030122 (MMDDYY): Date code of when fruit was picked. 50029: Cascade's internal code for ranch identifying number.  Load Shipment Numbers (Load shipment number is a sequential chronological order and is made up of the Product Lot Numbers.  Load Shipment Number indicates the Cascade as the importer, number of the container imported into USA and year):  CIM 125-22 CIM 129-22 CIM 130-22 CIM 144-22 CIM 146-22 CIM 147-22"
"Drugs","No","","92457","Completed","Jarman's Midwest Cleaning Systems, Inc.","824 N Grant St","","Canton","SD","	57013-1357","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0873-2023","Class I","Alcohol Antiseptic 80%, Topical Solution, Hand Sanitizer, Non-sterile Solution, Volume: 3.785 L, plastic gallon bottle, MCS Midwest Cleaning Solutions, 404 Noid Rd., Canton, SD 57013.   ","2365 gallons","Chemical Contamination: FDA testing found Presence of methanol","03/27/2023","06/14/2023","","06/21/2023","All batches labelled with Date of Manufacture (DOM): DOM 26MAR2020; DOM 01APR2020;                        DOM 02APR2020; DOM 27APR2020; DOM 04MAY2020; DOM 13MAY2020; DOM 04AUG2020."
"Drugs","No","","92457","Completed","Jarman's Midwest Cleaning Systems, Inc.","824 N Grant St","","Canton","SD","	57013-1357","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0874-2023","Class I","SOFT HANDS Alcohol Antiseptic 80%, Topical Solution, HAND SANITIZER, NON-STERILE SOLUTION, cleanpro SUPPLY, 1 US gallon / 3785.41ml, plastic gallon bottle, MCS Midwest Cleaning Solutions, 404 Noid Rd., Canton, SD 57013.   ","7303 gallons","Chemical Contamination: FDA testing found Presence of methanol","03/27/2023","06/14/2023","","06/21/2023","All product labelled with Date of Manufacture (DOM): DOM 26MAR2020; DOM 01APR2020;                        DOM 02APR2020; DOM 04APR2020; DOM 27APR2020; DOM 04MAY2020; DOM 07MAY2020; DOM 13MAY2020; DOM 04AUG2020."
"Devices","No","","92181","Ongoing","Boston Scientific Neuromodulation Corporation","25155 Rye Canyon Loop","","Valencia","CA","	91355-5004","United States","Voluntary: Firm initiated","Letter","US Nationwide Distribution: IN, NY, IL, PA, FL, SC, TX, MA, VA, AL, WI, OK, MO, MI, OH, WV, NC, UT, NH, CA, NJ, TN, NV, AZ, NE, IA, CT, ME, LA, KY, MS, MD, DC, GA, CO, KS, ID, MN, AR, HI, NM, WA, SD, OR, DE, WY, AK, and ND ","Z-1972-2023","Class II","Driver Instrument, part of the Superion Indirect Decompression System, REF: 102-9800, used with the Superion Indirect Decompression System IFU, Superion IDS Kit IFU, Surgical Technique Manual","21,533","Pending update to indirect decompression system instructions for use informing users that excessive force during the implant procedure may cause driver instrument tip breaks, which may result in metal fragments (Driver teeth/tips) within the implant location; and if metal fragments are not removed and remain in situ, MRI scans are NOT advised due to potential risk of patient injury.","05/12/2023","06/15/2023","","06/21/2023","Driver UDI-DI: 00884662000574, UPN: 102-9800, All Lots.  Superion Indirect Decompression System IFU (92479815-02), Superion IDS Kit IFU (92479820-02), Surgical Technique Manual (92479821-02)"
"Devices","No","","92207","Ongoing","Ossur H / F","Grjothals 5","","Reykjavik","","	","Iceland","Voluntary: Firm initiated","Letter","US: SC, FL,NM, PA, VA, CA, TX, MT, UT, OH, NV, KS, MI, GA, IA, WA, TN, AZ, MN, NC, IN, MS, AL, NY, ID, DE, OK, MA, WI, OR, KY, MD, CO, WV, LA, IL, NJ, CT, MO, NE, WY, AR, SD, PR ","Z-1906-2023","Class II","Icelock 125 Ratchet, REF: L-125000;  Icelock 600XM Ratchet, REF: L-621200;  Icelock 621 Ratchet, REF: L-621000;  Icelock 621 Ratchet Adaption Kit, REF: L-621100;  Ratchet Lock Body, REF: L-692020","4,190","A mechanical lock used to connect and release a locking liner into a prosthetic socket have an attachment pin and lock that can wear down faster than expected, leading to the potential for the pin to disengage from the lock, leading to loss of suspension of the external prosthetic system that replaces a missing lower limb, which can lead to falling and injury.","05/12/2023","06/13/2023","","06/21/2023","REF/UDI-DI: L-125000/05690967566142; L-621200/05690967596590; L-621000/05690967118334; L-621100/05690967155322; L-692020/05690967128548.  Lots: HF210205, HF210519, HF211008, HF220303, MX210518, MX210816, MX210823, MX211022, MX220316."
"Devices","No","","92243","Ongoing","Vyaire Medical","26125 N Riverwoods Blvd","","Mettawa","IL","	60045-3420","United States","Voluntary: Firm initiated","E-Mail","US Nationwide Distribution","Z-1966-2023","Class II","bellavista 1000 Ventilator, Catalogue Number 301.100.030; Continuous Use Ventilator","910 units","Vyaire Medical identified two patient safety risks during the use of the bellavista 1000 and bellavista 1000e:  1. Under certain conditions of use, the touchscreen may become unresponsive and the device application stops responding (APP Hang). When this occurs, if the user continues to interact with the touchscreen, a message will appear that states  DeviceSoftware.Application is not responding  or a decommission screen will appear on the user interface. The ventilator will issue both an audible and visual alarm. Ventilation continues without interruption with the settings applied prior to the APP Hang error.  2. The potential for a use error has been identified if the operator applies the proposed settings without confirming the settings are suitable for the patient.","05/05/2023","06/14/2023","","06/21/2023","UDI/DI: 10190752197664 and 07640149381115, ALL serial numbers with Software Version 6.1.0.2 and 6.1.1"
"Devices","No","","92243","Ongoing","Vyaire Medical","26125 N Riverwoods Blvd","","Mettawa","IL","	60045-3420","United States","Voluntary: Firm initiated","E-Mail","US Nationwide Distribution","Z-1967-2023","Class II","bellavista 1000e Ventilator, Catalogue Number 301.100.130; Continuous Use Ventilator","392 units","Vyaire Medical identified two patient safety risks during the use of the bellavista 1000 and bellavista 1000e:  1. Under certain conditions of use, the touchscreen may become unresponsive and the device application stops responding (APP Hang). When this occurs, if the user continues to interact with the touchscreen, a message will appear that states  DeviceSoftware.Application is not responding  or a decommission screen will appear on the user interface. The ventilator will issue both an audible and visual alarm. Ventilation continues without interruption with the settings applied prior to the APP Hang error.  2. The potential for a use error has been identified if the operator applies the proposed settings without confirming the settings are suitable for the patient.","05/05/2023","06/14/2023","","06/21/2023","UDI/DI 07640149381115 and 07640149388879, ALL serial numbers with Software Version 6.1.0.2 and 6.1.1"
"Devices","No","","92247","Ongoing","Apothecary Products, LLC","11750 12th Ave S","","Burnsville","MN","	55337-1297","United States","Voluntary: Firm initiated","E-Mail","Worldwide - US Nationwide distribution in the states of AL, AR, AZ, CA, CO, FL, HI, IL, IN, MO, NC, NJ, NY, OK, OR, PA, TN, TX, UT, WA and the country of Canada. ","Z-1702-2023","Class II","Eye and Ear Dropper, Product Code 67082","2,346 units","Potential for glass dropper to have glass particulate on the outside surface of the dropper bulb.","03/30/2023","06/09/2023","","06/21/2023","Lot Number: 030923; UPC Number: 025715670829"
