Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info
"Devices","No","","92660","Ongoing","Covidien LP","15 Hampshire St","","Mansfield","MA","	02048-1113","United States","Voluntary: Firm initiated","Letter","US Nationwide - Worldwide Distribution  Foreign:  Argentina Austria Bahrain Bangladesh Belgium Brazil Brunei Darussalam Canada Cayman Islands China Costa Rica Czech Republic Denmark Dominican Republic Finland France French Polynesia Germany Greece Hungary India Iran, Islamic Republic Of Ireland Italy Kuwait Malaysia Maldives Mauritius Mexico Nepal Netherlands New Caledonia Nicaragua Norway Philippines Poland Portugal Puerto Rico Saudi Arabia Singapore Slovakia South Africa Spain Sri Lanka Sweden Switzerland Thailand Turkey United Arab Emirates United Kingdom ","Z-2367-2023","Class I","MAHURKAR 12 Fr High Pressure Triple Lumen Acute Dialysis Catheter, 13 cm, Curved Extensions, IC Tray    REF:8888101001HP","2370 units","Catheter center lumen was found to have an occlusion in the tip of the catheter; the source of the occlusion an excessive MDX, a silicone-based lubricant which coats the catheter tip. An occluded, partially or fully, and/or uncured or excessive MDX may dislodge from the catheter lead to  full catheter obstruction resulting in delay to treatment and partial obstruction resulting in reduced flow, or particulate dislodgement that may result in delay to treatment, hemolysis, embolism/embolus or thrombosis/thrombus","06/28/2023","08/11/2023","","08/23/2023","GTIN:20884521127897 LOT Numbers: 2133600127 2133700049 2200400180"
"Devices","No","","92660","Ongoing","Covidien LP","15 Hampshire St","","Mansfield","MA","	02048-1113","United States","Voluntary: Firm initiated","Letter","US Nationwide - Worldwide Distribution  Foreign:  Argentina Austria Bahrain Bangladesh Belgium Brazil Brunei Darussalam Canada Cayman Islands China Costa Rica Czech Republic Denmark Dominican Republic Finland France French Polynesia Germany Greece Hungary India Iran, Islamic Republic Of Ireland Italy Kuwait Malaysia Maldives Mauritius Mexico Nepal Netherlands New Caledonia Nicaragua Norway Philippines Poland Portugal Puerto Rico Saudi Arabia Singapore Slovakia South Africa Spain Sri Lanka Sweden Switzerland Thailand Turkey United Arab Emirates United Kingdom ","Z-2368-2023","Class I","MAHURKAR 12 Fr High Pressure Triple Lumen Acute Dialysis Catheter, 16 cm, Curved Extensions, IC Tray    REF: 8888101002HP","6615","Catheter center lumen was found to have an occlusion in the tip of the catheter; the source of the occlusion an excessive MDX, a silicone-based lubricant which coats the catheter tip. An occluded, partially or fully, and/or uncured or excessive MDX may dislodge from the catheter lead to  full catheter obstruction resulting in delay to treatment and partial obstruction resulting in reduced flow, or particulate dislodgement that may result in delay to treatment, hemolysis, embolism/embolus or thrombosis/thrombus","06/28/2023","08/11/2023","","08/23/2023","GTIN: 20884521127965 LOT Numbers: 2133600171 2133600172 2133700047 2133700048 2133700060 2200400110 2204000236 2230400213 2230400214 2233400068"
"Devices","No","","92660","Ongoing","Covidien LP","15 Hampshire St","","Mansfield","MA","	02048-1113","United States","Voluntary: Firm initiated","Letter","US Nationwide - Worldwide Distribution  Foreign:  Argentina Austria Bahrain Bangladesh Belgium Brazil Brunei Darussalam Canada Cayman Islands China Costa Rica Czech Republic Denmark Dominican Republic Finland France French Polynesia Germany Greece Hungary India Iran, Islamic Republic Of Ireland Italy Kuwait Malaysia Maldives Mauritius Mexico Nepal Netherlands New Caledonia Nicaragua Norway Philippines Poland Portugal Puerto Rico Saudi Arabia Singapore Slovakia South Africa Spain Sri Lanka Sweden Switzerland Thailand Turkey United Arab Emirates United Kingdom ","Z-2369-2023","Class I","MAHURKAR 12 Fr High Pressure Triple Lumen Acute Dialysis Catheter, 20 cm, Curved Extensions, IC Tray    REF: 8888101003HP","5373 units","Catheter center lumen was found to have an occlusion in the tip of the catheter; the source of the occlusion an excessive MDX, a silicone-based lubricant which coats the catheter tip. An occluded, partially or fully, and/or uncured or excessive MDX may dislodge from the catheter lead to  full catheter obstruction resulting in delay to treatment and partial obstruction resulting in reduced flow, or particulate dislodgement that may result in delay to treatment, hemolysis, embolism/embolus or thrombosis/thrombus","06/28/2023","08/11/2023","","08/23/2023","GTIN: 20884521127972 LOT Numbers: 2130900104 2133600083 2133600160 2133600165 2226500171 2226500173 2227800101 2227800104 2227800109 2230400208"
"Devices","No","","92660","Ongoing","Covidien LP","15 Hampshire St","","Mansfield","MA","	02048-1113","United States","Voluntary: Firm initiated","Letter","US Nationwide - Worldwide Distribution  Foreign:  Argentina Austria Bahrain Bangladesh Belgium Brazil Brunei Darussalam Canada Cayman Islands China Costa Rica Czech Republic Denmark Dominican Republic Finland France French Polynesia Germany Greece Hungary India Iran, Islamic Republic Of Ireland Italy Kuwait Malaysia Maldives Mauritius Mexico Nepal Netherlands New Caledonia Nicaragua Norway Philippines Poland Portugal Puerto Rico Saudi Arabia Singapore Slovakia South Africa Spain Sri Lanka Sweden Switzerland Thailand Turkey United Arab Emirates United Kingdom ","Z-2370-2023","Class I","MAHURKAR 12 Fr High Pressure Triple Lumen Acute Dialysis Catheter, 24 cm, Curved Extensions, IC Tray    REF: 8888101004HP","1325 units","Catheter center lumen was found to have an occlusion in the tip of the catheter; the source of the occlusion an excessive MDX, a silicone-based lubricant which coats the catheter tip. An occluded, partially or fully, and/or uncured or excessive MDX may dislodge from the catheter lead to  full catheter obstruction resulting in delay to treatment and partial obstruction resulting in reduced flow, or particulate dislodgement that may result in delay to treatment, hemolysis, embolism/embolus or thrombosis/thrombus","06/28/2023","08/11/2023","","08/23/2023","GTIN: 20884521127989  LOT Numbers: 2130900107 2133700059"
"Devices","No","","92660","Ongoing","Covidien LP","15 Hampshire St","","Mansfield","MA","	02048-1113","United States","Voluntary: Firm initiated","Letter","US Nationwide - Worldwide Distribution  Foreign:  Argentina Austria Bahrain Bangladesh Belgium Brazil Brunei Darussalam Canada Cayman Islands China Costa Rica Czech Republic Denmark Dominican Republic Finland France French Polynesia Germany Greece Hungary India Iran, Islamic Republic Of Ireland Italy Kuwait Malaysia Maldives Mauritius Mexico Nepal Netherlands New Caledonia Nicaragua Norway Philippines Poland Portugal Puerto Rico Saudi Arabia Singapore Slovakia South Africa Spain Sri Lanka Sweden Switzerland Thailand Turkey United Arab Emirates United Kingdom ","Z-2371-2023","Class I","MAHURKAR 12 Fr High Pressure Triple Lumen Acute Dialysis Catheter, 20 cm, Straight Extensions, IC Tray    REF: 8888102003HP","1875 units","Catheter center lumen was found to have an occlusion in the tip of the catheter; the source of the occlusion an excessive MDX, a silicone-based lubricant which coats the catheter tip. An occluded, partially or fully, and/or uncured or excessive MDX may dislodge from the catheter lead to  full catheter obstruction resulting in delay to treatment and partial obstruction resulting in reduced flow, or particulate dislodgement that may result in delay to treatment, hemolysis, embolism/embolus or thrombosis/thrombus","06/28/2023","08/11/2023","","08/23/2023","GTIN: 20884521127996  LOT Numbers: 2204000239 2227800110"
"Devices","No","","92660","Ongoing","Covidien LP","15 Hampshire St","","Mansfield","MA","	02048-1113","United States","Voluntary: Firm initiated","Letter","US Nationwide - Worldwide Distribution  Foreign:  Argentina Austria Bahrain Bangladesh Belgium Brazil Brunei Darussalam Canada Cayman Islands China Costa Rica Czech Republic Denmark Dominican Republic Finland France French Polynesia Germany Greece Hungary India Iran, Islamic Republic Of Ireland Italy Kuwait Malaysia Maldives Mauritius Mexico Nepal Netherlands New Caledonia Nicaragua Norway Philippines Poland Portugal Puerto Rico Saudi Arabia Singapore Slovakia South Africa Spain Sri Lanka Sweden Switzerland Thailand Turkey United Arab Emirates United Kingdom ","Z-2372-2023","Class I","MAHURKAR 12 Fr High Pressure Triple Lumen Acute Dialysis Catheter, 24 cm, Straight Extensions, IC Tray    REF: 8888102004HP","685 units","Catheter center lumen was found to have an occlusion in the tip of the catheter; the source of the occlusion an excessive MDX, a silicone-based lubricant which coats the catheter tip. An occluded, partially or fully, and/or uncured or excessive MDX may dislodge from the catheter lead to  full catheter obstruction resulting in delay to treatment and partial obstruction resulting in reduced flow, or particulate dislodgement that may result in delay to treatment, hemolysis, embolism/embolus or thrombosis/thrombus","06/28/2023","08/11/2023","","08/23/2023","GTIN: 20884521128009  LOT Numbers: 2200400154"
"Devices","No","","92660","Ongoing","Covidien LP","15 Hampshire St","","Mansfield","MA","	02048-1113","United States","Voluntary: Firm initiated","Letter","US Nationwide - Worldwide Distribution  Foreign:  Argentina Austria Bahrain Bangladesh Belgium Brazil Brunei Darussalam Canada Cayman Islands China Costa Rica Czech Republic Denmark Dominican Republic Finland France French Polynesia Germany Greece Hungary India Iran, Islamic Republic Of Ireland Italy Kuwait Malaysia Maldives Mauritius Mexico Nepal Netherlands New Caledonia Nicaragua Norway Philippines Poland Portugal Puerto Rico Saudi Arabia Singapore Slovakia South Africa Spain Sri Lanka Sweden Switzerland Thailand Turkey United Arab Emirates United Kingdom ","Z-2373-2023","Class I","MAHURKAR 12 Fr High Pressure Triple Lumen Acute Dialysis Catheter, 13 cm, Curved Extensions, PASS Tray    REF: 8888103001HP","299 units","Catheter center lumen was found to have an occlusion in the tip of the catheter; the source of the occlusion an excessive MDX, a silicone-based lubricant which coats the catheter tip. An occluded, partially or fully, and/or uncured or excessive MDX may dislodge from the catheter lead to  full catheter obstruction resulting in delay to treatment and partial obstruction resulting in reduced flow, or particulate dislodgement that may result in delay to treatment, hemolysis, embolism/embolus or thrombosis/thrombus","06/28/2023","08/11/2023","","08/23/2023","GTIN: 0884521128010  LOT Numbers: 2133700228"
"Devices","No","","92660","Ongoing","Covidien LP","15 Hampshire St","","Mansfield","MA","	02048-1113","United States","Voluntary: Firm initiated","Letter","US Nationwide - Worldwide Distribution  Foreign:  Argentina Austria Bahrain Bangladesh Belgium Brazil Brunei Darussalam Canada Cayman Islands China Costa Rica Czech Republic Denmark Dominican Republic Finland France French Polynesia Germany Greece Hungary India Iran, Islamic Republic Of Ireland Italy Kuwait Malaysia Maldives Mauritius Mexico Nepal Netherlands New Caledonia Nicaragua Norway Philippines Poland Portugal Puerto Rico Saudi Arabia Singapore Slovakia South Africa Spain Sri Lanka Sweden Switzerland Thailand Turkey United Arab Emirates United Kingdom ","Z-2374-2023","Class I","MAHURKAR 12 Fr High Pressure Triple Lumen Acute Dialysis Catheter, 20 cm, Curved Extensions, PASS Tray    REF: 8888103002HP","299 units","Catheter center lumen was found to have an occlusion in the tip of the catheter; the source of the occlusion an excessive MDX, a silicone-based lubricant which coats the catheter tip. An occluded, partially or fully, and/or uncured or excessive MDX may dislodge from the catheter lead to  full catheter obstruction resulting in delay to treatment and partial obstruction resulting in reduced flow, or particulate dislodgement that may result in delay to treatment, hemolysis, embolism/embolus or thrombosis/thrombus","06/28/2023","08/11/2023","","08/23/2023","GTIN: 20884521128023  LOT Numbers: 2133700232 2133700247 2133700248"
"Devices","No","","92660","Ongoing","Covidien LP","15 Hampshire St","","Mansfield","MA","	02048-1113","United States","Voluntary: Firm initiated","Letter","US Nationwide - Worldwide Distribution  Foreign:  Argentina Austria Bahrain Bangladesh Belgium Brazil Brunei Darussalam Canada Cayman Islands China Costa Rica Czech Republic Denmark Dominican Republic Finland France French Polynesia Germany Greece Hungary India Iran, Islamic Republic Of Ireland Italy Kuwait Malaysia Maldives Mauritius Mexico Nepal Netherlands New Caledonia Nicaragua Norway Philippines Poland Portugal Puerto Rico Saudi Arabia Singapore Slovakia South Africa Spain Sri Lanka Sweden Switzerland Thailand Turkey United Arab Emirates United Kingdom ","Z-2375-2023","Class I","MAHURKAR 12 Fr High Pressure Triple Lumen Acute Dialysis Catheter, 24 cm, Curved Extensions, PASS Tray    REF: 8888103004HP","271 units","Catheter center lumen was found to have an occlusion in the tip of the catheter; the source of the occlusion an excessive MDX, a silicone-based lubricant which coats the catheter tip. An occluded, partially or fully, and/or uncured or excessive MDX may dislodge from the catheter lead to  full catheter obstruction resulting in delay to treatment and partial obstruction resulting in reduced flow, or particulate dislodgement that may result in delay to treatment, hemolysis, embolism/embolus or thrombosis/thrombus","06/28/2023","08/11/2023","","08/23/2023","GTIN:20884521128047  LOT Numbers: 2133700227"
"Devices","No","","92660","Ongoing","Covidien LP","15 Hampshire St","","Mansfield","MA","	02048-1113","United States","Voluntary: Firm initiated","Letter","US Nationwide - Worldwide Distribution  Foreign:  Argentina Austria Bahrain Bangladesh Belgium Brazil Brunei Darussalam Canada Cayman Islands China Costa Rica Czech Republic Denmark Dominican Republic Finland France French Polynesia Germany Greece Hungary India Iran, Islamic Republic Of Ireland Italy Kuwait Malaysia Maldives Mauritius Mexico Nepal Netherlands New Caledonia Nicaragua Norway Philippines Poland Portugal Puerto Rico Saudi Arabia Singapore Slovakia South Africa Spain Sri Lanka Sweden Switzerland Thailand Turkey United Arab Emirates United Kingdom ","Z-2376-2023","Class I","MAHURKAR 12 Fr High Pressure Triple Lumen Acute Dialysis Catheter, 20 cm, Straight Extensions, PASS Tray    REF: 8888104003HP","1099 units","Catheter center lumen was found to have an occlusion in the tip of the catheter; the source of the occlusion an excessive MDX, a silicone-based lubricant which coats the catheter tip. An occluded, partially or fully, and/or uncured or excessive MDX may dislodge from the catheter lead to  full catheter obstruction resulting in delay to treatment and partial obstruction resulting in reduced flow, or particulate dislodgement that may result in delay to treatment, hemolysis, embolism/embolus or thrombosis/thrombus","06/28/2023","08/11/2023","","08/23/2023","GTIN: 20884521128054  LOT Numbers: 2131200173 2133700237 2200400273 2200400290"
