Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Food","No","","91896","Terminated","BC Gourmet USA, Inc.","86 Sanderson Ave Ste 202","","Lynn","MA","	01902-1948","United States","Voluntary: Firm initiated","E-Mail","NJ, PA, MA","F-0771-2023","Class I","Scarpetta brand Pink Pesto Pasta Sauce; INGREDIENTS: Tomatoes (tomatoes, tomato juice, citric acid), Cream, Onions, Olive Oil, Basil, Garlic, Salt, Black Pepper, Citric Acid.; CONTAINS: MILK.; BC Gourmet USA, Inc., Lynn, MA;","906 units","Product contains undeclared pine nuts.","03/14/2023","05/01/2023","08/25/2023","05/10/2023","Lot Code NN149 Expiration date 5/2/2023 Lot Code NN164 Expiration date 12/9/2023"
"Devices","No","","92480","Ongoing","Datascope Corp.","1300 Macarthur Blvd","","Mahwah","NJ","	07430-2052","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution.","Z-2437-2023","Class I","Cardiosave Hybrid Intra-Aortic Balloon Pumps (IABP), Part Numbers 0998-00-0800-31, 0998-UC-0800-31, 0998-00-0800-32, 0998-00-0800-33, 0998-UC-0800-33, 0998-00-0800-34, 0998-00-0800-35, 0998-00-0800-45, 0998-00-0800-52, 0998-UC-0800-52, 0998-00-0800-53, 0998-UC-0800-53, 0998-00-0800-55, 0998-UC-0800-55, 0998-00-0800-65","9175 units","Users were identifying autofill failure conditions on the devices causing pump stops.","07/31/2023","08/30/2023","","09/06/2023","All Lot Numbers.  Model: 0998-00-0800-31, UDI: 10607567109053; Model: 0998-UC-0800-31, UDI: N/A; Model: 0998-00-0800-32, UDI:  10607567111117; Model: 0998-00-0800-33, UDI:  10607567109008; Model: 0998-UC-0800-33, UDI:  N/A; Model: 0998-00-0800-34, UDI:  10607567111940; Model: 0998-00-0800-35, UDI:  10607567109107; Model: 0998-00-0800-45, UDI:  10607567108421; Model: 0998-00-0800-52, UDI:  10607567108438; Model: 0998-UC-0800-52, UDI:  N/A; Model: 0998-00-0800-53, UDI:  10607567108391; Model: 0998-UC-0800-53, UDI:  N/A; Model: 0998-00-0800-55, UDI:  10607567108414; Model: 0998-UC-0800-55, UDI:  N/A; Model: 0998-00-0800-65, UDI:  10607567113432; Model: 0998-00-0800-75, UDI:  10607567112312; Model: 0998-00-0800-83, UDI:  10607567108407; Model: 0998-00-0800-85, UDI:  10607567113449"
"Devices","No","","92480","Ongoing","Datascope Corp.","1300 Macarthur Blvd","","Mahwah","NJ","	07430-2052","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution.","Z-2438-2023","Class I","Cardiosave Rescue Intra-Aortic Balloon Pumps (IABP), Part Numbers 0998-00-0800-75, 0998-00-0800-83, 0998-00-0800-85","9175 units","Users were identifying autofill failure conditions on the devices causing  pump stops.","07/31/2023","08/30/2023","","09/06/2023","All Lot Numbers.  Model: 0998-00-0800-75, UDI: 10607567112312; Model: 0998-00-0800-83, UDI: 10607567108407; Model: 0998-00-0800-85, UDI: 10607567113449"
"Devices","No","","92491","Ongoing","Datascope Corp.","1300 Macarthur Blvd","","Mahwah","NJ","	07430-2052","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution.","Z-2435-2023","Class I","Cardiosave Hybrid Intra-Aortic Balloon Pumps (IABP), Part Numbers 0998-00-0800-31, 0998-UC-0800-31, 0998-00-0800-32, 0998-00-0800-33, 0998-UC-0800-33, 0998-00-0800-34, 0998-00-0800-35, 0998-00-0800-45, 0998-00-0800-52, 0998-UC-0800-52, 0998-00-0800-53, 0998-UC-0800-53, 0998-00-0800-55, 0998-UC-0800-55, 0998-00-0800-65","9175 units","Users were reporting instances of ""Gas Loss in IAB Circuit"" and ""Gas Gain in IAB Circuit"" alarms while providing therapy. An internal investigation of the complaints determined that there is a potential trigger for these alarms that was not listed in the IFU: Patient Movement (coughing, general movement, and swallowing).  Blood in the circuit, kins and abrasions of the tubing/catheter and certain patient conditions could also trigger these alarms.  The HHE also identified hardware issues related to these alarms.","07/31/2023","08/30/2023","","09/06/2023","All Lot Numbers. Model: 0998-00-0800-31, UDI: 10607567109053; Model: 0998-UC-0800-31, UDI: N/A; Model: 0998-00-0800-32,UDI: 10607567111117; Model: 0998-00-0800-33, UDI: 10607567109008; Model: 0998-UC-0800-33, UDI: N/A; Model: 0998-00-0800-34, UDI: 10607567111940; Model: 0998-00-0800-35, UDI: 10607567109107; Model: 0998-00-0800-45, UDI: 10607567108421;Model: 0998-00-0800-52, UDI: 10607567108438; Model: 0998-UC-0800-52, UDI: N/A; Model: 0998-00-0800-53, UDI:10607567108391; Model: 0998-UC-0800-53, UDI: N/A; Model: 0998-00-0800-55, UDI: 10607567108414; Model: 0998-UC-0800-55,UDI: N/A; Model: 0998-00-0800-65, UDI: 10607567113432; Model: 0998-00-0800-75, UDI: 10607567112312; Model: 0998-00-0800-83, UDI: 10607567108407; Model: 0998-00-0800-85, UDI: 10607567113449"
"Devices","No","","92491","Ongoing","Datascope Corp.","1300 Macarthur Blvd","","Mahwah","NJ","	07430-2052","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution.","Z-2436-2023","Class I","Cardiosave Rescue Intra-Aortic Balloon Pumps (IABP), Part Numbers 0998-00-0800-75, 0998-00-0800-83, 0998-00-0800-85","9175 units","Users were reporting instances of ""Gas Loss in IAB Circuit"" and ""Gas Gain in IAB Circuit"" alarms while providing therapy. An internal investigation of the complaints determined that there is a potential trigger for these alarms that was not listed in the IFU: Patient Movement (coughing, general movement, and swallowing). Blood in the circuit, kinks/abrasions of the tubing/catheter and certain patient conditions could also trigger these alarms.  The firm's HHE also identified hardware issues related to these alarms.","07/31/2023","08/30/2023","","09/06/2023","All Lot Numbers. Model: 0998-00-0800-75, UDI: 10607567112312; Model: 0998-00-0800-83, UDI: 10607567108407; Model: 0998-00-0800-85, UDI: 10607567113449"
"Devices","No","","92498","Ongoing","Datascope Corp.","1300 Macarthur Blvd","","Mahwah","NJ","	07430-2052","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution.","Z-2433-2023","Class I","Cardiosave Hybrid Intra-Aortic Balloon Pumps (IABP), Part Numbers 0998-00-0800-31, 0998-UC-0800-31, 0998-00-0800-32, 0998-00-0800-33, 0998-UC-0800-33, 0998-00-0800-34, 0998-00-0800-35, 0998-00-0800-45, 0998-00-0800-52, 0998-UC-0800-52, 0998-00-0800-53, 0998-UC-0800-53, 0998-00-0800-55, 0998-UC-0800-55, 0998-00-0800-65","9175 units","Users reported ""System Over Temperature"" alarms associated with a loss of pumping and/or the Cardiosave system entering Standby mode.","07/31/2023","08/30/2023","","09/06/2023","All Lot Numbers. Model: 0998-00-0800-31, UDI: 10607567109053; Model: 0998-UC-0800-31, UDI: N/A; Model: 0998-00-0800-32,UDI: 10607567111117; Model: 0998-00-0800-33, UDI: 10607567109008; Model: 0998-UC-0800-33, UDI: N/A; Model: 0998-00-0800-34, UDI: 10607567111940; Model: 0998-00-0800-35, UDI: 10607567109107; Model: 0998-00-0800-45, UDI: 10607567108421;Model: 0998-00-0800-52, UDI: 10607567108438; Model: 0998-UC-0800-52, UDI: N/A; Model: 0998-00-0800-53, UDI:10607567108391; Model: 0998-UC-0800-53, UDI: N/A; Model: 0998-00-0800-55, UDI: 10607567108414; Model: 0998-UC-0800-55,UDI: N/A; Model: 0998-00-0800-65, UDI: 10607567113432; Model: 0998-00-0800-75, UDI: 10607567112312; Model: 0998-00-0800-83, UDI: 10607567108407; Model: 0998-00-0800-85, UDI: 10607567113449"
"Devices","No","","92498","Ongoing","Datascope Corp.","1300 Macarthur Blvd","","Mahwah","NJ","	07430-2052","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution.","Z-2434-2023","Class I","Cardiosave Rescue Intra-Aortic Balloon Pumps (IABP), Part Numbers 0998-00-0800-75, 0998-00-0800-83, 0998-00-0800-85","9175 units","Users reported ""System Over Temperature"" alarms associated with a loss of pumping and/or the Cardiosave system entering Standby mode.","07/31/2023","08/30/2023","","09/06/2023","All Lot Numbers. Model: 0998-00-0800-75, UDI: 10607567112312; Model: 0998-00-0800-83, UDI: 10607567108407; Model: 0998-00-0800-85, UDI: 10607567113449"
"Devices","No","","92501","Ongoing","Datascope Corp.","1300 Macarthur Blvd","","Mahwah","NJ","	07430-2052","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution.","Z-2431-2023","Class I","Cardiosave Hybrid Intra-Aortic Balloon Pumps (IABP), Part Numbers 0998-00-0800-31, 0998-UC-0800-31, 0998-00-0800-32, 0998-00-0800-33, 0998-UC-0800-33, 0998-00-0800-34, 0998-00-0800-35, 0998-00-0800-45, 0998-00-0800-52, 0998-UC-0800-52, 0998-00-0800-53, 0998-UC-0800-53, 0998-00-0800-55, 0998-UC-0800-55, 0998-00-0800-65","9175 units","Users were reporting that the device was not charging as expected. It was discovered that users were unaware that the Cardiosave console was not completely inserted into the hospital cart. If the console is not fully inserted back into the cart the battery(ies) will not charge.","07/31/2023","08/30/2023","","09/06/2023","All Lot Numbers. Model: 0998-00-0800-31, UDI: 10607567109053; Model: 0998-UC-0800-31, UDI: N/A; Model: 0998-00-0800-32,UDI: 10607567111117; Model: 0998-00-0800-33, UDI: 10607567109008; Model: 0998-UC-0800-33, UDI: N/A; Model: 0998-00-0800-34, UDI: 10607567111940; Model: 0998-00-0800-35, UDI: 10607567109107; Model: 0998-00-0800-45, UDI: 10607567108421;Model: 0998-00-0800-52, UDI: 10607567108438; Model: 0998-UC-0800-52, UDI: N/A; Model: 0998-00-0800-53, UDI:10607567108391; Model: 0998-UC-0800-53, UDI: N/A; Model: 0998-00-0800-55, UDI: 10607567108414; Model: 0998-UC-0800-55,UDI: N/A; Model: 0998-00-0800-65, UDI: 10607567113432; Model: 0998-00-0800-75, UDI: 10607567112312; Model: 0998-00-0800-83, UDI: 10607567108407; Model: 0998-00-0800-85, UDI: 10607567113449"
"Devices","No","","92501","Ongoing","Datascope Corp.","1300 Macarthur Blvd","","Mahwah","NJ","	07430-2052","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution.","Z-2432-2023","Class I","Cardiosave Rescue Intra-Aortic Balloon Pumps (IABP), Part Numbers 0998-00-0800-75, 0998-00-0800-83, 0998-00-0800-85","9175 units","Users were reporting that the device was not charging as expected. It was discovered that users were unaware that the Cardiosave console was not completely inserted into the hospital cart. If the console is not fully inserted back into the cart the battery(ies) will not charge.","07/31/2023","08/30/2023","","09/06/2023","All Lot Numbers. Model: 0998-00-0800-75, UDI: 10607567112312; Model: 0998-00-0800-83, UDI: 10607567108407; Model: 0998-00-0800-85, UDI: 10607567113449"
"Food","No","","92876","Completed","Stonewall Kitchen, LLC","2 Stonewall Ln","","York","ME","	03909-1662","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","ME, NH, MA, CT","F-1476-2023","Class I","Stonewall Kitchen brand Peanut Butter Maltballs packaged in 6oz clear plastic packaging","635 units","Product may contain undeclared peanut, soy, and wheat.","08/14/2023","08/28/2023","","09/06/2023","DEC31 2024"
